id,name,city,latitude,longitude,confidence
LOC_001,Synthetic Terminal Node 1 (Mumbai),Mumbai,18.6,73.9,0.9
LOC_002,Synthetic Terminal Node 2 (Delhi),Delhi,18.7,74.0,0.9
LOC_003,Synthetic Terminal Node 3 (Bengaluru),Bengaluru,18.8,74.1,0.9
LOC_004,Synthetic Terminal Node 4 (Hyderabad),Hyderabad,18.9,74.2,0.9
LOC_005,Synthetic Terminal Node 5 (Ahmedabad),Ahmedabad,19.0,74.3,0.9
LOC_006,Synthetic Terminal Node 6 (Chennai),Chennai,19.1,74.4,0.9
LOC_007,Synthetic Terminal Node 7 (Kolkata),Kolkata,19.2,74.5,0.9
LOC_008,Synthetic Terminal Node 8 (Pune),Pune,19.3,74.6,0.9
LOC_009,Synthetic Terminal Node 9 (Mumbai),Mumbai,19.4,74.7,0.9
LOC_010,Synthetic Terminal Node 10 (Delhi),Delhi,19.5,74.8,0.9
